109.0,      50.37,     -57.99
109.5,      32.02,     -54.17
109.5,      52.33,     -58.40
110.0,      33.98,     -54.58
110.0,      54.29,     -58.81
110.5,      35.94,     -54.99
110.5,      56.25,     -59.22
111.0,      37.89,     -55.39
111.0,      58.21,     -59.63
111.5,      39.85,     -55.80
111.5,      59.85,     -60.06
112.0,      41.81,     -56.21
112.0,      58.00,     -60.83
112.5,      43.77,     -56.62
112.5,      56.15,     -61.60
113.0,      45.73,     -57.03
113.0,      54.31,     -62.37
113.5,      47.68,     -57.43
113.5,      52.47,     -63.14
114.0,      49.62,     -57.84
114.0,      50.63,     -63.90
114.5,      51.53,     -58.24
114.5,      48.83,     -64.65
115.0,      53.33,     -58.61
115.0,      47.13,     -65.36
115.5,      54.64,     -62.23
115.5,      35.49,     -70.21
116.0,      54.81,     -62.16
116.0,      35.66,     -70.14
116.5,      54.52,     -62.28
116.5,      35.37,     -70.26
117.0,      53.81,     -62.58
117.0,      34.66,     -70.56
117.5,      52.74,     -63.02
117.5,      33.59,     -71.00
118.0,      51.38,     -63.59
118.0,      32.23,     -71.57
118.5,      49.81,     -64.25
118.5,      30.66,     -72.23
119.0,      48.09,     -64.96
119.0,      28.94,     -72.94
119.5,      46.30,     -65.71
119.5,      27.15,     -73.69
120.0,      44.46,     -66.48
120.0,      25.31,     -74.45
120.5,      42.61,     -67.24
120.5,      23.46,     -75.22
121.0,      40.78,     -68.01
121.0,      21.63,     -75.99
121.5,      38.96,     -68.77
121.5,      19.81,     -76.75
122.0,      37.16,     -69.52
122.0,      18.01,     -77.50
122.5,      35.38,     -70.26
122.5,      16.23,     -78.24
123.0,      33.62,     -70.99
123.0,      14.47,     -78.97
123.5,      31.87,     -71.72
123.5,      12.72,     -79.70
124.0,      30.13,     -72.45
124.0,      10.98,     -80.43
124.5,      28.39,     -73.17
124.5,       9.24,     -81.15
125.0,      26.65,     -73.90
125.0,       7.50,     -81.88
